paper_offset,pmcid,doi,section,Journal Title,Year,predicted_open_data
9531,5546998,10.1002/hbm.23664,METHODS,Hum Brain Mapp,2017,1
19412,5546998,10.1002/hbm.23664,DISCUSS,Hum Brain Mapp,2017,1
18365,5548182,10.1038/nmeth.3809,METHODS,Nat Methods,2016,1
21068,5548182,10.1038/nmeth.3809,METHODS,Nat Methods,2016,1
25521,5548182,10.1038/nmeth.3809,SUPPL,Nat Methods,2016,1
4994,5547576,10.1002/hbm.23698,METHODS,Hum Brain Mapp,2017,1
2082,5547021,10.1016/j.neuroimage.2017.02.001,INTRO,Neuroimage,2017,1
16136,5560075,10.1016/j.neuroimage.2015.06.030,INTRO,Neuroimage,2015,1
8744,5555826,10.1016/j.neuroimage.2017.02.034,INTRO,Neuroimage,2017,1
11065,5555826,10.1016/j.neuroimage.2017.02.034,METHODS,Neuroimage,2017,1
14358,5555826,10.1016/j.neuroimage.2017.02.034,METHODS,Neuroimage,2017,1
17355,5556951,10.1037/ser0000095,METHODS,Psychol Serv,2017,1
5904,5557007,10.1016/j.neuroimage.2017.04.046,INTRO,Neuroimage,2017,1
18486,5557007,10.1016/j.neuroimage.2017.04.046,METHODS,Neuroimage,2017,1
46698,5558154,10.1016/j.neuron.2017.06.041,METHODS,Neuron,2017,1
31278,5558435,10.1126/science.aal1641,METHODS,Science,2017,1
31604,5558435,10.1126/science.aal1641,METHODS,Science,2017,1
31127,5554410,10.1016/j.socscimed.2017.04.055,DISCUSS,Soc Sci Med,2017,1
14089,5555380,10.1016/j.bbr.2017.06.039,METHODS,Behav Brain Res,2017,1
11591,5555154,10.1016/j.jad.2017.06.004,METHODS,J Affect Disord,2017,1
45790,5565211,10.1016/j.cogpsych.2017.07.001,RESULTS,Cogn Psychol,2017,1
19971,5564320,10.1016/j.jadohealth.2015.01.007,DISCUSS,J Adolesc Health,2015,1
33187,5564459,10.1016/j.celrep.2017.07.046,METHODS,Cell Rep,2017,1
25277,5568251,10.1016/j.neuron.2017.06.010,METHODS,Neuron,2017,1
26169,5568251,10.1016/j.neuron.2017.06.010,METHODS,Neuron,2017,1
29163,5568251,10.1016/j.neuron.2017.06.010,METHODS,Neuron,2017,1
37001,5568251,10.1016/j.neuron.2017.06.010,METHODS,Neuron,2017,1
49315,5567740,10.1037/a0037530,DISCUSS,Cultur Divers Ethnic Minor Psychol,2014,1
5041,5560869,10.1016/j.acap.2016.01.019,INTRO,Acad Pediatr,2016,1
26871,5560869,10.1016/j.acap.2016.01.019,DISCUSS,Acad Pediatr,2016,1
12596,5560594,10.1016/j.neuroimage.2016.11.068,METHODS,Neuroimage,2016,1
6135,5560442,10.1038/mp.2013.170,METHODS,Mol Psychiatry,2014,1
6259,5573619,10.1037/emo0000331,METHODS,Emotion,2017,1
13218,5569911,10.1016/j.ejmg.2017.02.006,RESULTS,Eur J Med Genet,2017,1
133,5570450,10.1177/1740774512461859,ABSTRACT,Clin Trials,2012,1
19927,5570450,10.1177/1740774512461859,INTRO,Clin Trials,2012,1
29675,5570450,10.1177/1740774512461859,INTRO,Clin Trials,2012,1
9944,5582350,10.1111/psyp.12768,METHODS,Psychophysiology,2016,1
29341,5582350,10.1111/psyp.12768,METHODS,Psychophysiology,2016,1
6496,5581682,10.1016/j.neurobiolaging.2017.06.023,METHODS,Neurobiol Aging,2017,1
7483,5584611,10.1097/QAI.0000000000001463,METHODS,J Acquir Immune Defic Syndr,2017,1
4574,5583730,10.1038/mp.2016.165,METHODS,Mol Psychiatry,2016,1
8513,5576722,10.1017/S0033291716003147,METHODS,Psychol Med,2016,1
18561,5576592,10.1037/abn0000196,METHODS,J Abnorm Psychol,2016,1
21905,5576360,10.1016/j.neuron.2017.07.011,DISCUSS,Neuron,2017,1
24634,5576360,10.1016/j.neuron.2017.07.011,DISCUSS,Neuron,2017,1
44508,5576360,10.1016/j.neuron.2017.07.011,METHODS,Neuron,2017,1
48879,5576360,10.1016/j.neuron.2017.07.011,METHODS,Neuron,2017,1
32789,5576346,10.1016/j.stem.2017.06.012,METHODS,Cell Stem Cell,2017,1
32879,5579022,10.1016/j.nbd.2015.03.004,METHODS,Neurobiol Dis,2015,1
33535,5579022,10.1016/j.nbd.2015.03.004,METHODS,Neurobiol Dis,2015,1
29533,5595661,10.1017/S0033291717001064,SUPPL,Psychol Med,2017,1
47050,5591074,10.1016/j.stem.2017.07.008,METHODS,Cell Stem Cell,2017,1
14432,5592721,10.1002/ajmg.b.32568,METHODS,Am J Med Genet B Neuropsychiatr Genet,2017,1
5524,5593784,10.1002/hbm.23732,INTRO,Hum Brain Mapp,2017,1
11924,5593789,10.1002/hbm.23711,METHODS,Hum Brain Mapp,2017,1
13749,5593789,10.1002/hbm.23711,METHODS,Hum Brain Mapp,2017,1
46254,5594570,10.1038/nature22356,METHODS,Nature,2017,1
46646,5594570,10.1038/nature22356,METHODS,Nature,2017,1
15878,5588028,10.1007/s40596-016-0493-3,DISCUSS,Acad Psychiatry,2016,1
17708,5610932,10.1016/j.pnpbp.2017.07.021,METHODS,Prog Neuropsychopharmacol Biol Psychiatry,2017,1
13466,5600835,10.1016/j.neuroimage.2017.06.015,METHODS,Neuroimage,2017,1
42181,5600717,10.1016/j.jhealeco.2017.07.007,CONCL,J Health Econ,2017,1
13693,5600285,10.1016/j.beth.2017.01.006,METHODS,Behav Ther,2017,1
4884,5596878,10.1117/12.2254371,METHODS,Proc SPIE Int Soc Opt Eng,2017,1
5384,5610065,10.1016/j.biopsych.2017.03.018,METHODS,Biol Psychiatry,2017,1
10143,5601028,10.1007/s10488-017-0796-z,METHODS,Adm Policy Ment Health,2017,1
11901,5603304,10.1111/infa.12167,METHODS,Infancy,2016,1
1003,5608647,10.1111/biom.12689,INTRO,Biometrics,2017,1
17318,5608647,10.1111/biom.12689,METHODS,Biometrics,2017,1
52752,5598560,10.1111/insr.12163,FIG,Int Stat Rev,2016,1
3728,5612370,10.1016/j.brs.2016.03.010,INTRO,Brain Stimul,2016,1
7506,5623143,10.1016/S2352-3018(17)30097-8,METHODS,Lancet HIV,2017,1
66086,5619658,10.1111/infa.12184,FIG,Infancy,2017,1
16276,5621637,10.1037/hea0000279,RESULTS,Health Psychol,2015,1
56752,5621481,10.1016/j.cell.2017.06.015,METHODS,Cell,2017,1
40378,5620016,10.1016/j.drugpo.2017.05.013,DISCUSS,Int J Drug Policy,2017,1
30472,5624035,10.1038/nm.4246,METHODS,Nat Med,2016,1
32928,5624035,10.1038/nm.4246,METHODS,Nat Med,2016,1
40891,5624035,10.1038/nm.4246,METHODS,Nat Med,2016,1
72737,5624035,10.1038/nm.4246,METHODS,Nat Med,2016,1
19939,5634619,10.1002/jeab.275,METHODS,J Exp Anal Behav,2017,1
29567,5639473,10.1038/nm0217-264d,METHODS,Nat Med,2017,1
32025,5639473,10.1038/nm0217-264d,METHODS,Nat Med,2017,1
39993,5639473,10.1038/nm0217-264d,METHODS,Nat Med,2017,1
71874,5639473,10.1038/nm0217-264d,METHODS,Nat Med,2017,1
43302,5637483,10.1016/j.celrep.2017.09.047,SUPPL,Cell Rep,2017,1
10986,5638677,10.1002/gps.4755,METHODS,Int J Geriatr Psychiatry,2017,1
6408,5639168,10.1007/978-1-4939-7271-5_4,METHODS,Methods Mol Biol,2018,1
8211,5626649,10.1016/j.jad.2017.08.055,INTRO,J Affect Disord,2017,1
131720,5628163,10.1007/7854_2016_462,FIG,Curr Top Behav Neurosci,2018,1
24205,5630156,10.1016/j.janxdis.2017.03.007,METHODS,J Anxiety Disord,2017,1
7836,5627606,10.1177/1098214015603502,INTRO,Am J Eval,2015,1
19834,5628094,10.1002/hbm.23595,METHODS,Hum Brain Mapp,2017,1
7846,5614828,10.1016/j.neuroimage.2017.07.005,INTRO,Neuroimage,2017,1
9671,5614828,10.1016/j.neuroimage.2017.07.005,METHODS,Neuroimage,2017,1
11526,5614828,10.1016/j.neuroimage.2017.07.005,METHODS,Neuroimage,2017,1
11526,5614828,10.1016/j.neuroimage.2017.07.005,METHODS,Neuroimage,2017,1
14716,5614828,10.1016/j.neuroimage.2017.07.005,METHODS,Neuroimage,2017,1
16556,5614828,10.1016/j.neuroimage.2017.07.005,METHODS,Neuroimage,2017,1
35114,5655846,10.1214/17-AOAS1062,DISCUSS,Ann Appl Stat,2017,1
23898,5654690,10.1016/j.media.2017.07.001,METHODS,Med Image Anal,2017,1
8253,5650076,10.1016/j.cbpra.2016.12.001,INTRO,Cogn Behav Pract,2017,1
25317,5650475,10.3109/00207454.2012.678446,INTRO,Int J Neurosci,2012,1
41623,5654470,10.1080/03630242.2015.1088117,DISCUSS,Women Health,2015,1
9401,5653451,10.1016/j.neuroscience.2017.08.022,METHODS,Neuroscience,2017,1
5903,5658245,10.1016/j.ydbio.2017.09.024,RESULTS,Dev Biol,2017,1
9245,5656998,10.1111/ejn.13404,METHODS,Eur J Neurosci,2016,1
8743,5643230,10.1016/j.biopsych.2017.06.033,METHODS,Biol Psychiatry,2017,1
74,5644390,,ABSTRACT,US Census Bur Cent Econ Stud Res Pap Ser,2017,1
7439,5644390,,INTRO,US Census Bur Cent Econ Stud Res Pap Ser,2017,1
8470,5644390,,INTRO,US Census Bur Cent Econ Stud Res Pap Ser,2017,1
32672,5644390,,DISCUSS,US Census Bur Cent Econ Stud Res Pap Ser,2017,1
54227,5643158,10.1111/desc.12438,FIG,Dev Sci,2016,1
55435,5643158,10.1111/desc.12438,FIG,Dev Sci,2016,1
55766,5643158,10.1111/desc.12438,FIG,Dev Sci,2016,1
56709,5643158,10.1111/desc.12438,FIG,Dev Sci,2016,1
2534,5644502,10.1097/HRP.0000000000000166,INTRO,Harv Rev Psychiatry,2017,1
14471,5644502,10.1097/HRP.0000000000000166,METHODS,Harv Rev Psychiatry,2017,1
48698,5645082,10.1038/nn.4594,METHODS,Nat Neurosci,2017,1
23892,5641236,10.1007/s10488-017-0811-4,METHODS,Adm Policy Ment Health,2017,1
3912,5641267,10.1111/j.1601-183X.2012.00832.x,METHODS,Genes Brain Behav,2012,1
1242,5641407,10.1038/mp.2016.249,INTRO,Mol Psychiatry,2017,1
13833,5641478,10.1002/mrm.26701,METHODS,Magn Reson Med,2017,1
42547,5646422,10.1080/01621459.2015.1049746,DISCUSS,J Am Stat Assoc,2015,1
5156,5647151,10.1037/ort0000236,INTRO,Am J Orthopsychiatry,2016,1
40894,4552594,10.1038/ng.3367,SUPPL,Nat Genet,2015,1
41035,4552594,10.1038/ng.3367,SUPPL,Nat Genet,2015,1
44720,4549389,10.1007/s00429-014-0808-7,DISCUSS,Brain Struct Funct,2014,1
7065,4551281,,METHODS,Mol Vis,2015,1
7884,4551281,,METHODS,Mol Vis,2015,1
22378,4552543,10.14814/phy2.12468,DISCUSS,Physiol Rep,2015,1
5817,5664177,10.1016/j.neuroimage.2017.04.053,INTRO,Neuroimage,2017,1
26846,5669039,10.1038/ng.3916,METHODS,Nat Genet,2017,1
14382,5659851,10.1016/j.brs.2014.11.020,METHODS,Brain Stimul,2014,1
31832,5660669,10.1016/j.neuroimage.2017.04.063,RESULTS,Neuroimage,2017,1
34152,5663193,10.1080/16506073.2017.1304445,DISCUSS,Cogn Behav Ther,2017,1
31782,5675757,10.1016/j.cortex.2017.08.031,RESULTS,Cortex,2017,1
31782,5675757,10.1016/j.cortex.2017.08.031,RESULTS,Cortex,2017,1
5873,5678937,10.1002/jmv.24586,METHODS,J Med Virol,2016,1
8560,5676453,10.1038/nn.4411,INTRO,Nat Neurosci,2016,1
21120,5676453,10.1038/nn.4411,SUPPL,Nat Neurosci,2016,1
11795,5671354,10.1016/j.neuroimage.2017.07.043,METHODS,Neuroimage,2017,1
22651,5670016,10.1016/j.neuroimage.2017.04.070,DISCUSS,Neuroimage,2017,1
17972,5673258,10.1016/j.ijdevneu.2016.11.004,RESULTS,Int J Dev Neurosci,2016,1
12405,5672634,10.1007/978-3-319-66182-7_7,METHODS,Med Image Comput Comput Assist Interv,2017,1
6910,5687057,10.1177/0145721717699890,METHODS,Diabetes Educ,2017,1
6182,5685899,10.1002/aur.1834,METHODS,Autism Res,2017,1
8576,5685899,10.1002/aur.1834,METHODS,Autism Res,2017,1
16191,5685173,10.1002/hbm.23636,METHODS,Hum Brain Mapp,2017,1
10391,5687249,10.1007/978-1-4939-3813-1_9,METHODS,Methods Mol Biol,2016,1
112,5689454,10.1016/j.neuron.2017.10.007,ABSTRACT,Neuron,2017,1
5662,5689454,10.1016/j.neuron.2017.10.007,INTRO,Neuron,2017,1
8344,5689454,10.1016/j.neuron.2017.10.007,INTRO,Neuron,2017,1
46496,5689454,10.1016/j.neuron.2017.10.007,CONCL,Neuron,2017,1
11328,5685170,10.1002/hbm.23706,METHODS,Hum Brain Mapp,2017,1
15290,5685170,10.1002/hbm.23706,METHODS,Hum Brain Mapp,2017,1
31376,5687259,10.1016/j.anbehav.2017.06.019,DISCUSS,Anim Behav,2017,1
70,5685169,10.1038/nn.4500,ABSTRACT,Nat Neurosci,2017,1
1156,5685169,10.1038/nn.4500,INTRO,Nat Neurosci,2017,1
8153,5685169,10.1038/nn.4500,INTRO,Nat Neurosci,2017,1
16551,5685169,10.1038/nn.4500,INTRO,Nat Neurosci,2017,1
18912,5685169,10.1038/nn.4500,INTRO,Nat Neurosci,2017,1
20041,5685169,10.1038/nn.4500,INTRO,Nat Neurosci,2017,1
15681,5689456,10.1016/j.stem.2017.10.003,RESULTS,Cell Stem Cell,2017,1
24400,5696094,10.1016/j.bbi.2017.08.027,DISCUSS,Brain Behav Immun,2017,1
1687,5695711,10.1016/j.childyouth.2017.11.005,INTRO,Child Youth Serv Rev,2017,1
6220,5693262,10.1080/01621459.2016.1261710,INTRO,J Am Stat Assoc,2016,1
10140,5690581,10.1007/s10875-016-0281-6,METHODS,J Clin Immunol,2016,1
1198,5694709,10.1080/15332640.2017.1317310,INTRO,J Ethn Subst Abuse,2017,1
25421,5679317,10.1016/j.neuron.2017.08.033,RESULTS,Neuron,2017,1
49843,5679317,10.1016/j.neuron.2017.08.033,METHODS,Neuron,2017,1
3458,5679702,10.1017/S003329171700071X,METHODS,Psychol Med,2017,1
13445,5679435,10.1016/j.cell.2017.09.003,RESULTS,Cell,2017,1
55916,5679435,10.1016/j.cell.2017.09.003,METHODS,Cell,2017,1
76274,5679435,10.1016/j.cell.2017.09.003,FIG,Cell,2017,1
21002,5714326,10.1080/10618600.2016.1217227,METHODS,J Comput Graph Stat,2016,1
5727,5711600,10.1007/s13361-017-1704-1,METHODS,J Am Soc Mass Spectrom,2017,1
12808,5711600,10.1007/s13361-017-1704-1,METHODS,J Am Soc Mass Spectrom,2017,1
388,5712472,10.1016/j.drugalcdep.2017.04.033,ABSTRACT,Drug Alcohol Depend,2017,1
3392,5712472,10.1016/j.drugalcdep.2017.04.033,METHODS,Drug Alcohol Depend,2017,1
24645,5716903,10.1037/fam0000335,METHODS,J Fam Psychol,2017,1
9711,5719498,10.1016/j.chb.2017.07.026,METHODS,Comput Human Behav,2017,1
7164,5701569,10.1002/da.22468,INTRO,Depress Anxiety,2016,1
2901,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
14435,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
19362,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
35817,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
40622,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
12659,5711579,10.1176/appi.ps.201600488,METHODS,Psychiatr Serv,2017,1
7880,5698163,10.1016/j.nlm.2017.08.010,METHODS,Neurobiol Learn Mem,2017,1
5721,5710219,10.1001/jamapsychiatry.2017.2647,METHODS,JAMA Psychiatry,2017,1
25487,5710774,10.1080/01621459.2016.1195742,INTRO,J Am Stat Assoc,2017,1
28275,5710774,10.1080/01621459.2016.1195742,METHODS,J Am Stat Assoc,2017,1
33180,5706657,10.1038/nature23451,METHODS,Nature,2017,1
39624,5706657,10.1038/nature23451,FIG,Nature,2017,1
51355,5706657,10.1038/nature23451,FIG,Nature,2017,1
49811,5706770,10.1016/j.tins.2017.05.002,FIG,Trends Neurosci,2017,1
107,5705492,10.1016/j.jbi.2017.08.009,ABSTRACT,J Biomed Inform,2017,1
13435,5705452,10.1016/j.biopsych.2017.08.008,METHODS,Biol Psychiatry,2017,1
21451,5708551,10.1016/j.cell.2016.05.010,RESULTS,Cell,2016,1
1550,5705440,10.1016/j.jbi.2017.10.005,INTRO,J Biomed Inform,2017,1
5843,5705093,10.1007/978-3-319-61188-4_3,METHODS,Med Comput Vis Bayesian Graph Models Biomed Imaging (2016),2017,1
45203,5705423,10.1016/j.jbi.2017.06.010,INTRO,J Biomed Inform,2017,1
10676,5725229,10.1177/0956797617699837,METHODS,Psychol Sci,2017,1
11091,5725229,10.1177/0956797617699837,METHODS,Psychol Sci,2017,1
8902,5725266,10.1177/1077801216647797,METHODS,Violence Against Women,2016,1
6743,5725393,10.1016/j.cell.2016.02.027,INTRO,Cell,2016,1
46457,5725393,10.1016/j.cell.2016.02.027,CONCL,Cell,2016,1
8665,5726508,10.1038/mp.2016.206,METHODS,Mol Psychiatry,2016,1
8665,5726508,10.1038/mp.2016.206,METHODS,Mol Psychiatry,2016,1
44227,5726508,10.1038/mp.2016.206,FIG,Mol Psychiatry,2016,1
44064,5722259,10.1080/01621459.2016.1208615,SUPPL,J Am Stat Assoc,2016,1
1735,5723398,10.1162/jocn_a_00813,INTRO,J Cogn Neurosci,2015,1
27149,5723435,10.1038/nature24041,METHODS,Nature,2017,1
28307,5723435,10.1038/nature24041,METHODS,Nature,2017,1
32011,5723435,10.1038/nature24041,METHODS,Nature,2017,1
16914,5722229,10.1038/nprot.2015.133,INTRO,Nat Protoc,2015,1
2798,5734939,10.1007/s10488-016-0727-4,INTRO,Adm Policy Ment Health,2017,1
19070,5734055,10.1016/j.genhosppsych.2015.09.007,DISCUSS,Gen Hosp Psychiatry,2015,1
18347,5737829,10.1016/j.bbadis.2017.06.019,DISCUSS,Biochim Biophys Acta,2017,1
43466,5737772,10.1038/ng.3725,SUPPL,Nat Genet,2016,1
330,5736376,,ABSTRACT,J Particip Med,2017,1
4051,5736376,,METHODS,J Particip Med,2017,1
6017,5731830,10.1016/j.schres.2017.03.043,METHODS,Schizophr Res,2017,1
9257,5728672,,METHODS,Pac Symp Biocomput,2018,1
27949,5728668,,CONCL,Pac Symp Biocomput,2018,1
29722,5731645,10.1016/j.neuron.2017.10.010,DISCUSS,Neuron,2017,1
12083,5731484,10.1016/j.neuroimage.2017.08.081,INTRO,Neuroimage,2017,1
57277,5731484,10.1016/j.neuroimage.2017.08.081,DISCUSS,Neuroimage,2017,1
4517,5729578,10.1136/jech-2017-209769,METHODS,J Epidemiol Community Health,2017,1
59399,5737715,10.1037/xge0000371,SUPPL,J Exp Psychol Gen,2017,1
50980,5747559,10.1016/j.neuroimage.2017.06.052,APPENDIX,Neuroimage,2017,1
21218,5745198,10.1016/j.genhosppsych.2017.03.002,DISCUSS,Gen Hosp Psychiatry,2017,1
21735,5749234,10.1038/nm.4377,METHODS,Nat Med,2017,1
29308,5750396,10.1038/nprot.2013.074,METHODS,Nat Protoc,2013,1
29401,5750396,10.1038/nprot.2013.074,METHODS,Nat Protoc,2013,1
30304,5750396,10.1038/nprot.2013.074,METHODS,Nat Protoc,2013,1
10619,5749429,10.1016/j.bpsc.2017.03.011,METHODS,Biol Psychiatry Cogn Neurosci Neuroimaging,2017,1
24740,5745006,10.1007/978-1-4939-7465-8_17,METHODS,Methods Mol Biol,2018,1
13778,5741182,10.1521/aeap.2017.29.1.49,RESULTS,AIDS Educ Prev,2017,1
20125,5737904,10.1016/j.biopsycho.2016.11.004,METHODS,Biol Psychol,2016,1
16641,5737906,10.1016/j.pscychresns.2016.06.015,METHODS,Psychiatry Res,2016,1
11244,5737968,10.1038/ng.3870,INTRO,Nat Genet,2017,1
18206,5737968,10.1038/ng.3870,INTRO,Nat Genet,2017,1
40285,5737968,10.1038/ng.3870,METHODS,Nat Genet,2017,1
27907,5739324,10.1080/19345747.2016.1205160,METHODS,J Res Educ Eff,2016,1
