paper_offset,pmcid,doi,section,Journal Title,Year,predicted_data_sharing
37634,5524384,10.1016/j.celrep.2017.01.033,SUPPL,Cell Rep,2017,1
3539,5524569,10.1097/QAI.0000000000001418,INTRO,J Acquir Immune Defic Syndr,2017,1
7483,5524513,10.1097/QAI.0000000000001442,DISCUSS,J Acquir Immune Defic Syndr,2017,1
6822,5520639,10.3758/s13414-017-1331-8,METHODS,Atten Percept Psychophys,2017,1
27755,5520992,10.1097/QAD.0000000000001306,FIG,AIDS,2017,1
6925,5521194,10.1016/j.addbeh.2016.09.007,INTRO,Addict Behav,2016,1
34749,5521275,10.1016/j.neuron.2015.08.033,METHODS,Neuron,2015,1
37448,5521275,10.1016/j.neuron.2015.08.033,METHODS,Neuron,2015,1
14044,5545165,10.1080/17425247.2017.1288212,INTRO,Expert Opin Drug Deliv,2017,1
16070,5545165,10.1080/17425247.2017.1288212,INTRO,Expert Opin Drug Deliv,2017,1
44704,5545750,10.1111/nyas.13325,CONCL,Ann N Y Acad Sci,2017,1
40105,5542678,10.1038/nri.2015.5,DISCUSS,Nat Rev Immunol,2016,1
6470,5543709,10.1016/j.pcl.2016.07.006,INTRO,Pediatr Clin North Am,2016,1
35917,5543709,10.1016/j.pcl.2016.07.006,INTRO,Pediatr Clin North Am,2016,1
30711,5544563,10.1016/j.yhbeh.2017.04.003,DISCUSS,Horm Behav,2017,1
22268,5538780,10.1007/s12310-016-9179-y,RESULTS,School Ment Health,2016,1
44870,5540256,10.1016/j.cell.2017.04.035,METHODS,Cell,2017,1
45450,5540256,10.1016/j.cell.2017.04.035,METHODS,Cell,2017,1
45450,5540256,10.1016/j.cell.2017.04.035,METHODS,Cell,2017,1
45450,5540256,10.1016/j.cell.2017.04.035,METHODS,Cell,2017,1
8742,5538946,10.1007/s10461-017-1701-1,DISCUSS,AIDS Behav,2018,1
30497,5532074,10.1037/bul0000102,METHODS,Psychol Bull,2017,1
23462,5534386,10.1097/PHH.0000000000000508,DISCUSS,J Public Health Manag Pract,2018,1
31456,5533508,10.1007/s10567-016-0218-x,DISCUSS,Clin Child Fam Psychol Rev,2017,1
11591,5548645,10.1016/j.schres.2017.01.055,METHODS,Schizophr Res,2017,1
37143,5552040,10.1007/s10461-016-1562-z,RESULTS,AIDS Behav,2017,1
39336,5552040,10.1007/s10461-016-1562-z,RESULTS,AIDS Behav,2017,1
42836,5552040,10.1007/s10461-016-1562-z,RESULTS,AIDS Behav,2017,1
17439,5551970,10.1016/j.jbi.2017.07.002,RESULTS,J Biomed Inform,2017,1
31459,5548423,10.1016/j.neuron.2017.06.007,DISCUSS,Neuron,2017,1
17198,5548300,10.1111/jnc.13721,METHODS,J Neurochem,2016,1
6751,5548185,10.1038/nmeth.4190,SUPPL,Nat Methods,2017,1
6861,5548185,10.1038/nmeth.4190,SUPPL,Nat Methods,2017,1
15630,5548182,10.1038/nmeth.3809,METHODS,Nat Methods,2016,1
18365,5548182,10.1038/nmeth.3809,METHODS,Nat Methods,2016,1
21068,5548182,10.1038/nmeth.3809,METHODS,Nat Methods,2016,1
25521,5548182,10.1038/nmeth.3809,SUPPL,Nat Methods,2016,1
25521,5548182,10.1038/nmeth.3809,SUPPL,Nat Methods,2016,1
7574,5547576,10.1002/hbm.23698,METHODS,Hum Brain Mapp,2017,1
6862,5559324,10.1021/acschemneuro.6b00376,RESULTS,ACS Chem Neurosci,2017,1
9088,5559616,,METHODS,Am J Manag Care,2017,1
16933,5560075,10.1016/j.neuroimage.2015.06.030,INTRO,Neuroimage,2015,1
1694,5559342,10.1016/j.bbi.2017.02.006,INTRO,Brain Behav Immun,2017,1
11528,5559342,10.1016/j.bbi.2017.02.006,INTRO,Brain Behav Immun,2017,1
35995,5558154,10.1016/j.neuron.2017.06.041,METHODS,Neuron,2017,1
35995,5558154,10.1016/j.neuron.2017.06.041,METHODS,Neuron,2017,1
9039,5553976,10.21769/BioProtoc.2361,METHODS,Bio Protoc,2017,1
32981,5553280,10.1016/j.stem.2017.06.017,METHODS,Cell Stem Cell,2017,1
23182,5554466,10.1016/j.schres.2017.02.001,DISCUSS,Schizophr Res,2017,1
19208,5565211,10.1016/j.cogpsych.2017.07.001,METHODS,Cogn Psychol,2017,1
44976,5564227,10.1016/j.cell.2017.07.014,METHODS,Cell,2017,1
59778,5564224,10.1016/j.cub.2017.06.024,METHODS,Curr Biol,2017,1
36478,5564459,10.1016/j.celrep.2017.07.046,SUPPL,Cell Rep,2017,1
46114,5568251,10.1016/j.neuron.2017.06.010,METHODS,Neuron,2017,1
32631,5568077,10.1038/nprot.2016.142,METHODS,Nat Protoc,2016,1
59213,5568077,10.1038/nprot.2016.142,METHODS,Nat Protoc,2016,1
31396,5567689,10.1038/nmeth.4291,METHODS,Nat Methods,2017,1
18422,5561508,10.1177/1359105317690598,DISCUSS,J Health Psychol,2017,1
9354,5560594,10.1016/j.neuroimage.2016.11.068,METHODS,Neuroimage,2016,1
9861,5561660,10.1039/c7ob00854f,RESULTS,Org Biomol Chem,2017,1
56334,5563258,10.1021/acs.jmedchem.6b01148,SUPPL,J Med Chem,2017,1
21354,5573161,10.1016/j.neuron.2017.04.041,METHODS,Neuron,2017,1
55434,5572832,10.1016/j.neuron.2017.07.014,METHODS,Neuron,2017,1
3280,5572663,10.1007/s10964-016-0589-9,INTRO,J Youth Adolesc,2016,1
13439,5575759,10.1080/10253890.2016.1174852,METHODS,Stress,2016,1
169,5573640,10.1038/mp.2016.260,ABSTRACT,Mol Psychiatry,2017,1
70673,5572562,10.1016/j.cognition.2017.06.017,DISCUSS,Cognition,2017,1
15318,5572472,10.1016/j.jana.2017.04.001,METHODS,J Assoc Nurses AIDS Care,2017,1
4192,5581737,10.1109/JBHI.2017.2676878,INTRO,IEEE J Biomed Health Inform,2017,1
43590,5581737,10.1109/JBHI.2017.2676878,CONCL,IEEE J Biomed Health Inform,2017,1
3698,5581732,10.1007/s10803-017-3075-7,INTRO,J Autism Dev Disord,2018,1
15018,5581312,10.1080/14740338.2017.1338271,CONCL,Expert Opin Drug Saf,2017,1
13972,5584609,10.1016/j.jneumeth.2017.07.001,INTRO,J Neurosci Methods,2017,1
6823,5584608,10.1016/j.arr.2016.12.004,INTRO,Ageing Res Rev,2016,1
75778,5576360,10.1016/j.neuron.2017.07.011,METHODS,Neuron,2017,1
75778,5576360,10.1016/j.neuron.2017.07.011,METHODS,Neuron,2017,1
49101,5576346,10.1016/j.stem.2017.06.012,METHODS,Cell Stem Cell,2017,1
8688,5580238,10.1021/acschemneuro.6b00051,RESULTS,ACS Chem Neurosci,2016,1
34910,5579022,10.1016/j.nbd.2015.03.004,SUPPL,Neurobiol Dis,2015,1
3372,5595656,10.1080/00918369.2016.1265358,INTRO,J Homosex,2016,1
51775,5591075,10.1016/j.stem.2017.07.009,METHODS,Cell Stem Cell,2017,1
69570,5591075,10.1016/j.stem.2017.07.009,METHODS,Cell Stem Cell,2017,1
5740,5591074,10.1016/j.stem.2017.07.008,RESULTS,Cell Stem Cell,2017,1
21935,5591044,10.1177/0956797617706086,RESULTS,Psychol Sci,2017,1
11355,5593755,10.1037/prj0000243,METHODS,Psychiatr Rehabil J,2017,1
45110,5590230,10.1126/scisignal.aai7696,SUPPL,Sci Signal,2017,1
45110,5590230,10.1126/scisignal.aai7696,SUPPL,Sci Signal,2017,1
22830,5584878,10.1016/j.celrep.2017.07.030,DISCUSS,Cell Rep,2017,1
7937,5588884,10.1016/j.jnma.2015.12.009,METHODS,J Natl Med Assoc,2016,1
32291,5588879,10.1363/4114209,CONCL,Perspect Sex Reprod Health,2009,1
16817,5588863,,DISCUSS,Stud Health Technol Inform,2015,1
10245,5591076,10.1002/rcm.7952,RESULTS,Rapid Commun Mass Spectrom,2017,1
10245,5591076,10.1002/rcm.7952,RESULTS,Rapid Commun Mass Spectrom,2017,1
25150,5591076,10.1002/rcm.7952,FIG,Rapid Commun Mass Spectrom,2017,1
25352,5591076,10.1002/rcm.7952,FIG,Rapid Commun Mass Spectrom,2017,1
45188,5610421,10.1038/nrn.2016.70,CONCL,Nat Rev Neurosci,2016,1
31774,5600620,10.1002/humu.23280,DISCUSS,Hum Mutat,2017,1
12619,5600689,10.1002/phar.1988,DISCUSS,Pharmacotherapy,2017,1
13523,5597452,10.1111/psyp.12890,METHODS,Psychophysiology,2017,1
15606,5597452,10.1111/psyp.12890,METHODS,Psychophysiology,2017,1
25247,5597452,10.1111/psyp.12890,METHODS,Psychophysiology,2017,1
28390,5602558,10.1177/1557988316655528,RESULTS,Am J Mens Health,2016,1
36418,5603300,10.1016/j.cell.2011.05.017,METHODS,Cell,2011,1
5384,5610065,10.1016/j.biopsych.2017.03.018,METHODS,Biol Psychiatry,2017,1
13579,5600862,10.1016/j.ejphar.2017.07.025,RESULTS,Eur J Pharmacol,2017,1
152,5600202,10.1136/jech-2016-208482,ABSTRACT,J Epidemiol Community Health,2017,1
56941,5604336,10.1145/2987373,RESULTS,ACM Trans Model Comput Simul,2017,1
2956,5605801,10.1016/j.conb.2017.03.016,INTRO,Curr Opin Neurobiol,2017,1
12278,5607016,10.1016/j.ddmod.2017.01.001,INTRO,Drug Discov Today Dis Models,2016,1
20340,5612411,10.1080/10253890.2017.1295444,DISCUSS,Stress,2017,1
24722,5612411,10.1080/10253890.2017.1295444,DISCUSS,Stress,2017,1
15965,5623607,10.1002/mrm.26682,METHODS,Magn Reson Med,2017,1
44759,5621653,10.1016/j.nlm.2017.08.001,DISCUSS,Neurobiol Learn Mem,2017,1
10089,5621475,10.1111/tops.12006,INTRO,Top Cogn Sci,2013,1
10089,5621475,10.1111/tops.12006,INTRO,Top Cogn Sci,2013,1
12713,5621475,10.1111/tops.12006,INTRO,Top Cogn Sci,2013,1
8933,5620016,10.1016/j.drugpo.2017.05.013,METHODS,Int J Drug Policy,2017,1
72737,5624035,10.1038/nm.4246,METHODS,Nat Med,2016,1
14064,5634917,10.1097/QAI.0000000000001516,RESULTS,J Acquir Immune Defic Syndr,2017,1
813,5633498,10.1016/j.jana.2017.06.011,INTRO,J Assoc Nurses AIDS Care,2017,1
71874,5639473,10.1038/nm0217-264d,METHODS,Nat Med,2017,1
13224,5639322,10.1176/appi.ps.002912012,METHODS,Psychiatr Serv,2013,1
43302,5637483,10.1016/j.celrep.2017.09.047,SUPPL,Cell Rep,2017,1
27439,5638691,10.1111/biom.12697,SUPPL,Biometrics,2017,1
38661,5628145,10.1158/2159-8290.CD-17-0250,SUPPL,Cancer Discov,2017,1
25387,5629120,10.1016/j.cmet.2017.08.009,DISCUSS,Cell Metab,2017,1
13819,5627613,10.1080/19359705.2017.1293579,METHODS,J Gay Lesbian Ment Health,2017,1
4095,5614828,10.1016/j.neuroimage.2017.07.005,INTRO,Neuroimage,2017,1
9327,5616179,10.1111/cpsp.12197,INTRO,Clin Psychol (New York),2017,1
17403,5616190,10.1002/sim.7292,METHODS,Stat Med,2017,1
29935,5651682,10.1080/13623699.2017.1323303,DISCUSS,Med Confl Surviv,2017,1
37722,5651682,10.1080/13623699.2017.1323303,DISCUSS,Med Confl Surviv,2017,1
5899,5654662,10.1016/j.jagp.2017.06.018,METHODS,Am J Geriatr Psychiatry,2017,1
5616,5650079,10.1016/j.jneumeth.2017.08.016,METHODS,J Neurosci Methods,2017,1
25317,5650475,10.3109/00207454.2012.678446,INTRO,Int J Neurosci,2012,1
39836,5651172,10.1007/s10461-016-1337-6,DISCUSS,AIDS Behav,2017,1
6634,5657147,10.1080/10826084.2016.1276598,METHODS,Subst Use Misuse,2017,1
24039,5653248,10.1016/j.jpsychires.2016.12.008,DISCUSS,J Psychiatr Res,2016,1
10084,5649625,10.1097/QAI.0000000000001439,METHODS,J Acquir Immune Defic Syndr,2017,1
14633,5649625,10.1097/QAI.0000000000001439,METHODS,J Acquir Immune Defic Syndr,2017,1
74,5644390,,ABSTRACT,US Census Bur Cent Econ Stud Res Pap Ser,2017,1
16038,5644395,10.1016/j.childyouth.2017.03.017,METHODS,Child Youth Serv Rev,2017,1
48512,5645082,10.1038/nn.4594,METHODS,Nat Neurosci,2017,1
14988,5645258,10.1016/j.socscimed.2017.09.027,DISCUSS,Soc Sci Med,2017,1
3914,5646819,10.1111/ajad.12586,INTRO,Am J Addict,2017,1
14232,5664924,10.1007/s10461-015-1033-y,METHODS,AIDS Behav,2015,1
13761,5669039,10.1038/ng.3916,SUPPL,Nat Genet,2017,1
41732,5667944,10.1016/j.stem.2016.12.007,METHODS,Cell Stem Cell,2017,1
15441,5666687,10.1007/978-3-319-67558-9_19,CONCL,Deep Learn Med Image Anal Multimodal Learn Clin Decis Support (2017),2017,1
64839,5659748,10.1016/j.neuron.2017.09.033,METHODS,Neuron,2017,1
33408,5663192,10.1016/j.cmet.2016.07.012,METHODS,Cell Metab,2016,1
2081,5659735,10.1007/978-3-319-59050-9_31,INTRO,Inf Process Med Imaging,2017,1
43556,5659341,10.1038/nature22047,METHODS,Nature,2017,1
18247,5658782,10.1007/s12035-016-9925-z,METHODS,Mol Neurobiol,2016,1
4892,5662439,10.1097/JCP.0000000000000731,DISCUSS,J Clin Psychopharmacol,2017,1
28933,5662128,10.1016/j.celrep.2017.09.075,METHODS,Cell Rep,2017,1
83475,5675106,10.1038/nn.4616,SUPPL,Nat Neurosci,2017,1
99,5673531,10.1002/jcp.26002,ABSTRACT,J Cell Physiol,2017,1
11795,5671354,10.1016/j.neuroimage.2017.07.043,METHODS,Neuroimage,2017,1
10287,5670739,10.1111/j.1943-278X.2012.00110.x,DISCUSS,Suicide Life Threat Behav,2012,1
13037,5669804,10.1007/s10461-017-1804-8,RESULTS,AIDS Behav,2017,1
23133,5669804,10.1007/s10461-017-1804-8,RESULTS,AIDS Behav,2017,1
26885,5670015,10.1016/j.jbi.2017.05.001,CONCL,J Biomed Inform,2017,1
7231,5671918,10.1097/CIN.0000000000000356,METHODS,Comput Inform Nurs,2017,1
9149,5671918,10.1097/CIN.0000000000000356,METHODS,Comput Inform Nurs,2017,1
32784,5689454,10.1016/j.neuron.2017.10.007,INTRO,Neuron,2017,1
41338,5689086,10.1162/jocn_a_01143,RESULTS,J Cogn Neurosci,2017,1
22728,5685169,10.1038/nn.4500,SUPPL,Nat Neurosci,2017,1
11994,5681370,10.1097/QAI.0000000000001538,METHODS,J Acquir Immune Defic Syndr,2017,1
3548,5683072,10.1016/j.amepre.2017.06.022,INTRO,Am J Prev Med,2017,1
10112,5697722,10.1111/sjop.12203,METHODS,Scand J Psychol,2015,1
11641,5697722,10.1111/sjop.12203,METHODS,Scand J Psychol,2015,1
18455,5697722,10.1111/sjop.12203,RESULTS,Scand J Psychol,2015,1
25812,5697722,10.1111/sjop.12203,CONCL,Scand J Psychol,2015,1
4238,5696083,10.1016/j.ultramic.2017.10.003,INTRO,Ultramicroscopy,2017,1
4238,5696083,10.1016/j.ultramic.2017.10.003,INTRO,Ultramicroscopy,2017,1
30359,5696083,10.1016/j.ultramic.2017.10.003,METHODS,Ultramicroscopy,2017,1
40083,5696083,10.1016/j.ultramic.2017.10.003,METHODS,Ultramicroscopy,2017,1
2142,5696107,10.1016/j.neuroimage.2017.08.040,INTRO,Neuroimage,2017,1
29238,5696117,10.1007/s10461-017-1796-4,RESULTS,AIDS Behav,2018,1
29238,5696117,10.1007/s10461-017-1796-4,RESULTS,AIDS Behav,2018,1
38343,5696117,10.1007/s10461-017-1796-4,DISCUSS,AIDS Behav,2018,1
12966,5695690,10.1016/j.jneumeth.2016.03.021,METHODS,J Neurosci Methods,2016,1
30346,5695690,10.1016/j.jneumeth.2016.03.021,FIG,J Neurosci Methods,2016,1
23688,5694376,10.1016/j.jagp.2017.05.021,DISCUSS,Am J Geriatr Psychiatry,2017,1
52087,5679715,10.1016/j.cell.2017.08.047,METHODS,Cell,2017,1
9995,5718345,10.1037/ccp0000068,METHODS,J Consult Clin Psychol,2015,1
76388,5718200,10.1016/j.cell.2017.07.021,METHODS,Cell,2017,1
4713,5718939,10.1002/da.22696,METHODS,Depress Anxiety,2017,1
14435,5699888,10.1007/978-1-4939-7027-8_15,INTRO,Methods Mol Biol,2017,1
23273,5704905,10.1038/nn.4531,METHODS,Nat Neurosci,2017,1
53541,5704905,10.1038/nn.4531,SUPPL,Nat Neurosci,2017,1
46432,5711426,10.1002/erv.2553,RESULTS,Eur Eat Disord Rev,2017,1
21213,5710821,10.1515/em-2016-0018,CONCL,Epidemiol Methods,2017,1
9575,5699476,10.1037/stl0000089,INTRO,Scholarsh Teach Learn Psychol,2017,1
9575,5699476,10.1037/stl0000089,INTRO,Scholarsh Teach Learn Psychol,2017,1
39226,5705537,10.1016/j.jbi.2017.06.011,RESULTS,J Biomed Inform,2017,1
8260,5705492,10.1016/j.jbi.2017.08.009,METHODS,J Biomed Inform,2017,1
11922,5705296,10.1016/j.jbi.2017.05.020,INTRO,J Biomed Inform,2017,1
94,5705329,10.1016/j.jbi.2017.05.023,ABSTRACT,J Biomed Inform,2017,1
2013,5705329,10.1016/j.jbi.2017.05.023,INTRO,J Biomed Inform,2017,1
64,5705346,10.1016/j.neuroimage.2017.08.042,ABSTRACT,Neuroimage,2017,1
9651,5705383,10.1007/s10461-017-1957-5,METHODS,AIDS Behav,2017,1
2679,5705440,10.1016/j.jbi.2017.10.005,INTRO,J Biomed Inform,2017,1
66473,5705407,10.1080/10253890.2017.1343296,RESULTS,Stress,2017,1
70,5705430,10.1016/j.jbi.2017.06.006,ABSTRACT,J Biomed Inform,2017,1
149,5705401,10.1016/j.jbi.2017.06.005,ABSTRACT,J Biomed Inform,2017,1
5834,5725246,10.1016/j.ijid.2017.07.017,INTRO,Int J Infect Dis,2017,1
16804,5724765,10.1080/00224499.2016.1170101,METHODS,J Sex Res,2016,1
9610,5726508,10.1038/mp.2016.206,METHODS,Mol Psychiatry,2016,1
9559,5723435,10.1038/nature24041,INTRO,Nature,2017,1
54270,5723435,10.1038/nature24041,METHODS,Nature,2017,1
71222,5723435,10.1038/nature24041,SUPPL,Nature,2017,1
72205,5723435,10.1038/nature24041,SUPPL,Nature,2017,1
72311,5723435,10.1038/nature24041,SUPPL,Nature,2017,1
76401,5723435,10.1038/nature24041,SUPPL,Nature,2017,1
2384,5721669,10.1002/aur.1811,INTRO,Autism Res,2017,1
105990,5734095,10.1016/j.cell.2017.10.017,DISCUSS,Cell,2017,1
109510,5734095,10.1016/j.cell.2017.10.017,DISCUSS,Cell,2017,1
109510,5734095,10.1016/j.cell.2017.10.017,DISCUSS,Cell,2017,1
110808,5734095,10.1016/j.cell.2017.10.017,DISCUSS,Cell,2017,1
9242,5732886,10.1007/s10802-017-0315-4,INTRO,J Abnorm Child Psychol,2018,1
6346,5735035,10.1002/sim.7502,INTRO,Stat Med,2017,1
33656,5736019,10.1016/j.neuroimage.2017.08.047,RESULTS,Neuroimage,2017,1
19771,5728697,10.1016/j.celrep.2017.10.094,DISCUSS,Cell Rep,2017,1
19771,5728697,10.1016/j.celrep.2017.10.094,DISCUSS,Cell Rep,2017,1
72966,5728414,10.1016/j.stem.2017.10.014,METHODS,Cell Stem Cell,2017,1
60160,5729206,10.1016/j.cell.2017.07.020,METHODS,Cell,2017,1
47075,5731645,10.1016/j.neuron.2017.10.010,METHODS,Neuron,2017,1
46232,5731462,10.1007/s10880-010-9219-y,INTRO,J Clin Psychol Med Settings,2010,1
8938,5729925,10.1097/QAI.0b013e31823554d7,METHODS,J Acquir Immune Defic Syndr,2011,1
5202,5747529,10.1016/j.neurobiolaging.2016.07.008,METHODS,Neurobiol Aging,2016,1
63832,5747984,10.1016/j.neuroimage.2017.10.048,DISCUSS,Neuroimage,2017,1
10074,5747375,,DISCUSS,Endocrinol Diabetes Metab J,2017,1
34427,5747986,10.1002/dev.21588,DISCUSS,Dev Psychobiol,2017,1
35921,5745067,10.1016/j.neuron.2017.06.009,METHODS,Neuron,2017,1
26505,5749234,10.1038/nm.4377,SUPPL,Nat Med,2017,1
7192,5750118,10.1007/s00424-017-2063-2,INTRO,Pflugers Arch,2017,1
7896,5750118,10.1007/s00424-017-2063-2,INTRO,Pflugers Arch,2017,1
8224,5750118,10.1007/s00424-017-2063-2,INTRO,Pflugers Arch,2017,1
24264,5750118,10.1007/s00424-017-2063-2,METHODS,Pflugers Arch,2017,1
36031,5749636,10.1038/nature23292,INTRO,Nature,2017,1
7194,5749639,10.1016/j.neuropharm.2017.11.022,METHODS,Neuropharmacology,2017,1
24346,5750066,10.1007/s00424-017-2067-y,DISCUSS,Pflugers Arch,2017,1
7417,5741294,10.1016/j.psychres.2017.08.058,METHODS,Psychiatry Res,2017,1
37103,5741546,10.1037/xlm0000431,RESULTS,J Exp Psychol Learn Mem Cogn,2017,1
64320,5740873,10.1016/j.cell.2017.07.033,METHODS,Cell,2017,1
40285,5737968,10.1038/ng.3870,METHODS,Nat Genet,2017,1
40285,5737968,10.1038/ng.3870,METHODS,Nat Genet,2017,1
40889,5737968,10.1038/ng.3870,SUPPL,Nat Genet,2017,1
17770,5743323,10.1016/j.nic.2017.06.005,INTRO,Neuroimaging Clin N Am,2017,1
59220,5743496,10.1016/j.molcel.2017.11.017,METHODS,Mol Cell,2017,1
59220,5743496,10.1016/j.molcel.2017.11.017,METHODS,Mol Cell,2017,1
27470,5744593,10.1016/j.neuron.2017.08.012,METHODS,Neuron,2017,1
28954,5744593,10.1016/j.neuron.2017.08.012,METHODS,Neuron,2017,1
47592,5744593,10.1016/j.neuron.2017.08.012,FIG,Neuron,2017,1
47592,5744593,10.1016/j.neuron.2017.08.012,FIG,Neuron,2017,1
29609,5744598,10.3758/s13414-017-1404-8,METHODS,Atten Percept Psychophys,2017,1
52333,5744598,10.3758/s13414-017-1404-8,METHODS,Atten Percept Psychophys,2017,1
52333,5744598,10.3758/s13414-017-1404-8,METHODS,Atten Percept Psychophys,2017,1
43692,5743058,10.1126/scisignal.aan3181,METHODS,Sci Signal,2017,1
9788,5756100,10.1176/appi.ajp.2017.17030283,INTRO,Am J Psychiatry,2017,1
47706,5754239,10.1016/j.neuron.2017.11.020,METHODS,Neuron,2017,1
67706,5758441,10.1016/j.neuroimage.2017.07.007,INTRO,Neuroimage,2017,1
41633,5757840,10.1038/nature23484,METHODS,Nature,2017,1
46606,5757840,10.1038/nature23484,FIG,Nature,2017,1
42105,5764800,10.1002/hbm.23887,DISCUSS,Hum Brain Mapp,2017,1
25081,5763567,10.1007/s10461-017-1765-y,RESULTS,AIDS Behav,2017,1
23274,5763918,10.1007/s40572-016-0100-5,INTRO,Curr Environ Health Rep,2016,1
59188,5764159,10.1016/j.dcn.2017.02.003,FIG,Dev Cogn Neurosci,2017,1
16886,5764781,10.1002/hbm.23870,METHODS,Hum Brain Mapp,2017,1
